depth_input,A07-P
0.51,-1.136251354
1.01,0.47964182
1.51,-0.010199335
2.01,0.13107053
2.51,0.439216928
3.01,0.20628541
3.51,0.230195691
4.01,-0.208504017
4.51,-0.374048261
5.01,-0.058732918
5.51,0.024364022
6.01,0.275839505
6.51,0.047821107
7.01,0.151537987
7.51,-0.060136702
8.01,0.169104923
8.51,0.128386517
9.01,0.367928289
9.51,0.173853283
10.01,0.378149907
10.51,0.229944062
11.01,0.312269278
11.51,0.216884882
12.01,0.313850006
12.51,0.11883891
13.01,0.305199612
13.51,0.246276002
14.01,0.152273273
14.51,0.353616948
15.01,0.105274341
15.51,0.154454046
16.01,0.29381909
16.51,0.147766411
17.01,0.136097351
17.51,0.197475448
18.01,0.080465716
18.51,0.003452586
19.01,0.071565679
19.51,0.196178367
20.01,0.06714356
20.51,0.095961935
21.01,0.110953873
21.51,0.080468662
22.01,0.17963303
22.51,-0.177147753
23.01,0.199821003
23.51,0.224295229
24.01,0.012080717
24.51,0.318036116
25.01,0.001489854
25.51,-0.235645347
26.01,0.090343237
26.51,0.02998599
27,0.141606993
0.51,0.048626444
1.01,0.217537367
1.51,-0.152709517
2.01,-0.091179634
2.51,0.128345079
3.01,0.269844215
3.51,0.468986019
4.01,0.129628872
4.51,-0.478116601
5.01,0.139860586
5.51,-0.122950066
6.01,0.102235293
6.51,-0.403932837
7.01,-0.176249701
7.51,0.406323201
8.01,0.497219958
8.51,0.117878825
9.01,0.218087853
9.51,0.343291289
10.01,0.405703451
10.51,0.390432852
11.01,0.160959403
11.51,0.178522222
12.01,0.410291838
12.51,0.053446923
13.01,0.236708362
13.51,0.177601949
14.01,0.179106515
14.51,0.209246356
15.01,0.21383733
15.51,0.178925421
16.01,0.230588541
16.51,0.157736057
17.01,0.231744014
17.51,0.24267454
18.01,0.227390458
18.51,0.138094377
19.01,0.127409517
19.51,0.292469116
20.01,0.150169374
20.51,0.073289275
21.01,0.234171655
21.51,-0.002943052
22.01,0.000962688
22.51,0.047600519
23.01,0.151900388
23.51,0.240376817
24.01,0.495817451
24.51,0.168959782
25.01,0.116510645
25.51,0.312547412
26.01,0.238028094
26.51,0.321517834
27.01,0.427446567
27.51,0.216205893
28.01,0.190889814
28.51,0.324875715
29,0.28435484
0.51,0.088069402
1.01,-0.001169197
1.51,-0.136341159
2.01,0.136585523
2.51,-0.146148183
3.01,0.07132032
3.51,0.084473527
4.01,0.076372052
4.51,0.220940107
5.01,0.176523377
5.51,0.074356586
6.01,0.026455049
6.51,0.006963279
7.01,0.016046188
7.51,0.20297718
8.01,0.204612285
8.51,0.210926791
9.01,0.096336915
9.51,0.203689565
10.01,-0.046555251
10.51,0.221987975
11.01,-0.215481775
11.51,0.052132379
12.01,-0.09376167
12.51,0.002479518
13.01,0.019473881
13.51,0.296197649
14.01,0.05814971
14.51,0.18141745
15.01,0.199521624
15.51,-0.050255685
16.01,0.192658969
16.51,0.236984048
17,0.258572445
0.51,-0.104614583
1.01,0.077855662
1.51,0.120867738
2.01,0.215944409
2.51,0.262167378
3.01,0.286320463
3.51,0.283381379
4.01,0.173671739
4.51,0.088367951
5.01,-0.124085601
5.51,0.167674883
6.01,0.183614186
6.51,0.30296968
7.01,0.111910872
7.51,0.329548792
8.01,0.634065306
8.51,0.049384951
9.01,0.076711265
9.51,-0.101687469
10.01,-0.024168163
10.51,0.127375757
11.01,-0.051886258
11.51,-0.014216716
12.01,0.116833501
12.51,0.243707646
13.01,0.138573424
13.51,0.148331039
14.01,0.068420701
14.51,0.004828881
15.01,0.425649271
15.51,-0.019483717
16.01,0.123642006
16.51,0.212059503
17.01,0.077197305
17.51,-0.069066282
18.01,0.115513116
18.51,0.384364408
19,0.3253678
0.1,3.27594754
1.5,1.739995592
2,1.834089807
2.5,0.070836662
3,-0.207370847
3.5,-0.297211772
4,0.082004023
4.5,-0.051992542
5,-0.043516962
5.5,-0.04955824
6,-0.177553409
6.5,-0.278691448
7,0.333129025
7.5,-0.120295839
8,0.190812922
8.5,0.145489214
10,0.158821485
10.5,-0.023269864
11,0.033358077
11.5,-0.071951118
12,0.186483123
12.5,-0.036249185
13,0.07860056
13.5,0.183737009
14,0.165545336
14.5,0.211381298
15,-0.066154665
15.5,0.079605522
16,-0.004384276
16.5,-0.05333964
17,0.076934026
17.5,0.073849828
18,0.037417342
18.5,0.136645296
19,0.139194932
0.1,1.980550792
0.5,1.662611744
1,1.402362557
1.5,1.608396868
2,-0.351071228
2.5,0.152330562
3,-0.530837268
3.5,0.062961461
4,0.225585427
4.5,0.14637996
5,0.469750245
5.5,0.798507041
6,0.510645243
6.5,0.431659845
7,-0.017965302
7.5,0.019550584
8,-0.03679651
8.5,0.169759813
9,0.157504914
9.5,0.018256339
10,0.127417165
10.5,0.041108376
11,-0.205954571
11.5,-0.017291368
12,-0.224491653
12.5,-0.066818631
13,-0.474473468
13.5,0.092947701
14,0.160528706
14.5,-0.173861925
15,-0.158974861
15.5,0.053927465
16,-0.044586114
16.5,-0.149133874
17,-0.157296006
17.5,0.030409326
18,0.334885638
0.51,1.401513506
1.01,1.115898482
1.51,1.083154593
2.01,-0.064396533
2.51,0.38122363
3.01,0.2995225
3.51,0.415702464
4.01,0.169092976
4.51,0.732091641
5.01,0.811499766
5.51,0.57281242
6.01,0.476764879
6.51,0.34437287
7.01,-0.041772053
7.51,-0.238415554
8.01,-0.094158388
8.51,0.442081757
9.01,-0.208271072
9.51,-0.107854568
10.01,-0.711762301
10.51,-0.407800189
11.01,-0.099086888
11.51,-0.652148278
12.01,-0.82337464
12.51,-0.256023749
13.01,-0.199971553
13.51,-1.523357427
14.01,-1.969502316
14.51,-1.799973838
15.01,-1.614116362
15.51,0.108059324
16.01,0.014188772
16.51,-0.756341497
17.01,-0.610557474
17.51,-0.270666516
18.01,-0.180284599
18.51,0.295081845
19.01,-0.152666833
19.51,-0.148312179
20.01,0.012427905
20.51,0.005537676
21.01,0.256804081
21.51,-0.097788759
22.01,0.144752708
22.51,0.136013721
23.01,0.220240133
23.51,0.90008805
24.01,-0.110045815
24.51,0.108170001
25.01,0.156738061
25.51,0.448638858
26.01,0.693581919
26.51,0.456913557
27.01,0.166094825
27.51,0.307347693
28.01,0.442977356
28.51,0.439891354
29,0.389123162
1.51,0.471652332
2.01,0.37947886
2.51,-0.084834457
3.01,0.102935565
3.51,0.529689555
4.01,0.648400708
4.51,1.02787171
5.01,-0.237302064
5.51,0.324684018
6.01,-0.425081525
6.51,0.460987007
7.01,-0.014427914
7.51,0.432152923
8.01,0.328036501
8.51,0.519493492
9.01,0.104985178
9.51,0.102044818
10.01,0.624292244
10.51,0.740192926
11.01,0.30871603
11.51,0.408864534
12.01,0.442043293
12.51,0.232784542
13.01,0.526954643
13.51,0.48519495
14.01,-0.326537367
14.51,-0.001129449
15.01,0.391635321
15.51,0.217819541
16.01,0.094960133
16.51,0.133868662
17.01,0.263543938
17.51,0.656648104
18.01,0.439383964
18.51,0.321407164
19.01,-0.306976682
19.51,-0.35185596
20.01,-0.573814657
20.51,0.223849345
21.01,-0.128347562
21.51,0.03348322
22.01,0.01301592
22.51,0.227292526
23.01,0.044387147
23.51,0.119470327
24.01,0.493740974
24.51,0.454607455
25.01,0.42627873
25.51,0.172338603
26.01,0.740764065
26.51,0.250194033
27.01,0.348900833
27.51,0.316229872
28.01,-0.110348477
28.51,0.884273448
29,0.504454854
0.51,-0.692101014
1.01,-0.499720787
1.51,-0.747668856
2.01,0.531909408
2.51,-0.061633935
3.01,0.444905236
3.51,0.823924224
4.01,0.493259996
4.51,0.400292977
5.01,0.051566505
5.51,0.14632169
6.01,0.126111481
6.51,0.168442652
7.01,0.601743576
7.51,0.374361714
8.01,0.005344074
8.51,0.260627425
9.01,0.145234679
9.51,0.239560313
10.01,0.26036072
10.51,0.415248415
11.01,0.253890268
11.51,0.522301691
12.01,0.589564775
12.51,0.249483021
13.01,1.189919371
13.51,-0.410551145
14.01,0.279551119
14.51,0.736521279
15.01,0.265159405
15.51,0.205524487
16.01,0.276925337
16.51,0.637947669
17.01,0.339136311
17.51,0.356869434
18.01,-0.06379797
18.51,0.438887365
19.01,0.404999383
19.51,0.475957769
20.01,0.40235544
20.51,0.44902622
21.01,-0.001287994
21.51,0.264036883
22.01,0.711689275
22.51,0.55230606
23.01,-0.031610676
23.51,0.330402638
24,0.523169318
0.51,0.027586782
1.01,-0.056263653
1.51,-0.342457292
2.01,0.485639395
2.51,0.569083394
3.01,-0.570451888
3.51,-0.531492727
4.01,-0.245225221
4.51,-0.244940027
5.01,1.157033652
5.51,0.395244537
6.01,-0.150629309
6.51,-0.013586716
7.01,-0.133105471
7.51,-0.151068432
8.01,-0.047237857
8.51,-0.358749739
9.01,-0.385826086
9.51,-0.301715663
10.01,-0.169785588
10.51,0.054961569
11.01,-0.059083203
11.51,-0.093710593
12.01,-0.264674075
12.51,-0.418918867
13.01,-0.428670449
13.51,-0.424311989
14.01,-0.332149141
14.51,0.039284278
15.01,0.15498439
15.51,-0.367110104
16.01,-0.347682045
16.51,-0.324046074
17.01,-0.280890721
17.51,-0.390628718
18.01,-0.085115933
18.51,-0.083566428
19.01,0.081341233
19.51,0.111300904
20.01,0.204026164
20.51,0.12621283
21.01,0.921755558
21.51,0.607943655
22.01,0.42761684
22.51,0.321682071
23,0.050282044
0.51,-0.011686067
1.01,0.033053428
1.51,-0.036056596
2.01,0.057558453
2.51,-0.097874066
3.01,0.208909298
3.51,0.089451099
4.01,-0.015475222
4.51,0.046094756
5.01,-0.055400292
5.51,-0.118628208
6.01,-0.144008893
6.51,0.023134928
7.01,0.045654147
7.51,-0.096361891
8.01,0.028575575
8.51,-0.03563279
9.01,0.026470215
9.51,0.075610435
10.01,0.104754307
10.51,-0.312728437
11.01,0.137154852
11.51,0.151254703
12.01,0.182248171
12.51,0.015766376
13.01,0.043258079
13.51,0.102567499
14.01,0.128241136
14.51,0.047798132
15.01,0.180682222
15.51,0.064866555
16.01,0.30532124
16.51,0.136669794
17.01,0.128804672
17.51,0.097582897
18.01,0.163300233
18.51,0.068959866
19.01,0.005663244
19.51,0.139339409
20,0.258970102
0.1,0.783865837
0.5,0.967883943
1,0.973854818
1.5,0.854662422
2,0.432182061
2.5,-0.228192022
3,0.008807628
3.5,-0.054268557
4,-0.306275233
4.5,-0.132917454
5,0.12114643
5.5,0.149914987
6,0.081778384
6.5,0.09491602
7,0.123503105
7.5,0.198669051
8,0.076377269
8.5,-0.067967785
9,-0.165935286
9.5,-0.089215067
10,-0.080624895
10.5,-0.032251489
11,-0.081929147
11.5,-0.123224542
12,-0.292377298
12.5,-0.325193048
13,0.253941374
13.5,-0.266474175
14,0.104750746
14.5,0.027087723
15,-0.266783938
15.5,-0.096784193
16,-0.317628678
16.5,-0.342844593
17,-0.500420295
17.5,-0.354244195
18,-0.133130411
18.5,-0.238925167
19,-0.07695276
19.5,-0.278845323
20,-0.511391099
20.5,-0.385371806
21,0.222405278
21.5,0.544326183
22.5,0.025646849
23,0.409170405
23.5,0.305307725
24,0.653227435
24.5,0.24008985
25,0.257367373
25.5,0.346973892
26,0.24188779
0.51,1.861739346
1.01,1.723931707
1.51,1.768522827
2.01,-0.113705351
2.51,-0.207630332
3.01,-0.635781671
3.51,-0.38647404
4.01,-0.337579801
4.51,-0.370001951
5.01,-0.300129591
5.51,-0.369046185
6.01,-0.271684653
6.51,-0.383136371
7.01,-0.205853946
7.51,-0.319017639
8.01,-0.178844928
8.51,-0.126940152
9.01,-0.459074557
9.51,-0.430992188
10.01,-0.047806585
10.51,0.136628215
11.01,0.135393439
11.51,0.072952915
12.01,-0.043529956
12.51,-0.040230647
13.01,0.042673902
13.51,0.106022467
14.01,-0.042049631
14.51,-0.131764043
15.01,-0.118801797
15.51,0.225190735
16.01,-0.010532087
16.51,-0.016496476
17,-0.034362892
0.51,1.122092804
2.01,0.632441106
2.51,0.319581844
3.01,0.297582387
3.51,0.105676148
4.01,0.088917307
4.51,0.396572124
5.01,-0.11565819
5.51,-0.073540041
6.01,-0.319597623
6.51,-0.357836153
7.01,-0.461218256
7.51,-0.573651122
8.01,-0.505632541
8.51,-0.385835336
9.01,0.014468675
9.51,-0.230796152
10.01,-0.122508717
10.51,0.029839499
11.01,0.071808504
11.51,0.188528998
12.01,0.062464229
12.51,-0.179692027
13.01,-0.296325364
13.51,-0.534418107
14.01,-0.325550948
14.51,-0.167394775
15.01,-0.23682138
15.51,-0.255552109
16.01,-0.343342923
16.51,-0.160204823
17.01,-0.310280222
17.51,-0.427755338
18.01,-0.12286045
18.51,-0.259023972
19.01,-0.302238728
19.51,-0.243592877
20.01,-0.186473844
20.51,-0.180265364
21.01,0.071648455
21.51,0.809264704
22.01,0.475362016
22.51,0.063131665
23,0.581637652
1.51,0.959298687
2.01,0.185019677
2.51,0.078076839
3.01,-0.266932044
3.51,-0.208695605
4.01,-0.269507724
4.51,-0.325463883
5.01,-0.080290407
5.51,-0.171234462
6.01,-0.112724591
6.51,0.016483573
7.01,-0.182953612
7.51,-0.379512449
8.01,-0.363554769
8.51,-0.297257459
9.01,-0.319186058
9.51,-0.324141544
10.01,0.437260723
10.51,-0.099318444
11.01,0.178877409
11.51,0.182424983
12.01,0.005719145
12.51,0.025315347
13.01,0.057832367
13.51,0.04818486
14.01,0.107801473
14.51,-0.295984949
15.01,-0.29555099
15.51,-0.34185423
16.01,-0.369394618
16.51,-0.480549263
17.01,-0.335738814
17.51,-2.08E-05
18.01,-0.006944002
18.51,0.015494629
19.01,0.088674996
19.51,-0.015260987
20.01,-0.149984356
20.51,-0.212805599
21.01,-0.140364722
21.51,-0.286172919
22.01,-0.472435524
22.51,-0.326872288
23.01,0.071576646
23.51,0.562681951
24.01,0.375183168
24.51,0.396635955
25.01,0.301647793
25.51,0.192537524
26.01,0.61840894
26.51,0.536642999
27.01,-0.057298607
27.51,-0.202456044
28.01,0.388942534
28.51,0.186630161
29,0.341149802
0.51,-0.569416588
1.01,-0.419914078
1.51,-0.798260175
2.01,-0.126566424
2.51,-0.013123595
3.01,0.118788287
3.51,0.250358595
4.01,1.203816524
4.51,1.178839096
5.01,1.021558366
5.51,0.78204252
6.01,0.651322491
6.51,0.484713151
7.01,0.441959005
7.51,0.552432589
8.01,0.408627436
8.51,0.351870339
9.01,0.684637589
9.51,0.312335746
10.01,0.098949898
10.51,0.386290653
11.01,0.102605024
11.51,0.097798181
12.01,0.152438426
12.51,0.087695051
13.01,0.107693925
13.51,0.174797374
14.01,0.381984023
14.51,0.217015499
15.01,0.123010273
15.51,-0.065844883
16.01,0.403115454
16.51,0.275120917
17.01,0.370914778
17.51,0.386170748
18,-0.013510226
0.51,0.940842299
1.01,0.856156912
1.51,0.573799986
2.01,0.199556025
2.51,-0.164160885
3.01,-0.058181208
3.51,0.0558141
4.01,-0.069810717
4.51,-0.029849502
5.01,0.206553469
5.51,0.098274482
6.01,0.092801901
6.51,0.10366738
7.01,0.0185066
7.51,-0.021907827
8.01,0.043574174
8.51,-0.265562436
9.01,-0.32602504
9.51,-0.470228211
10.01,0.455574238
10.51,-0.08717819
11.01,-0.078202461
11.51,0.100931345
12.01,0.032937002
12.51,-0.30824585
13.01,-0.206669051
13.51,-0.253351917
14.01,-0.36063495
14.51,-0.158302476
15.01,-0.216956574
15.51,-0.363328364
16.01,-0.441054161
16.51,-0.429108188
17.01,-0.335548767
17.51,-0.09650839
18.01,-0.153823115
18.51,-0.288152728
19.01,-0.303857184
19.51,-0.077254204
20.01,0.08997689
20.51,0.541506209
21.01,0.348870274
21.51,0.114321303
22.01,0.378965494
22.51,0.42656838
23.01,0.317632391
23.51,0.180295422
24,0.290829359
0.51,0.808084181
1.01,0.784061025
1.51,0.553769284
2.01,0.416807095
2.51,0.463583158
3.01,0.487804278
3.51,0.550916142
4.01,0.213402564
4.51,0.415144535
5.01,0.532262082
5.51,0.550928771
6.01,0.181087993
6.51,0.221891987
7.01,0.296409225
7.51,0.29249065
8.01,0.354979663
8.51,0.013244984
9.01,0.193716948
9.51,-0.033000571
10.01,0.292788067
10.51,0.083743498
11.01,0.421524422
11.51,0.109920718
12.01,0.02737171
12.51,0.001964769
13.01,0.126100787
13.51,0.168475578
14.01,0.201958188
14.51,0.043048838
15.01,0.31681315
15.51,0.103602045
16.01,0.180094019
16.51,0.125570123
17.01,-0.029142396
17.51,0.037974085
18.01,0.067575094
18.51,0.124634105
19.01,0.367040842
19.51,0.256335914
20.01,0.620901532
20.51,0.206466338
21,0.236120274
0.51,0.657371307
1.01,0.502821832
1.51,0.251795341
2.01,-0.639255695
2.51,-0.597357579
3.01,-0.718947961
3.51,-0.470812486
4.01,0.988617059
4.51,0.984809083
5.01,0.057195478
5.51,0.037279844
6.01,-0.352227011
6.51,0.146480256
7.01,-0.267959426
7.51,-0.136109997
8.01,-0.266484821
8.51,-0.173186307
9.01,0.073035165
9.51,0.567005636
10.01,0.557936547
10.51,0.556095168
11.01,0.289749944
11.51,0.400290502
12.01,0.75607615
12.51,0.415494393
13.01,0.221414753
13.51,0.187825205
14.01,0.044066045
14.51,0.142515889
15,-0.034997914
0.51,0.178284655
1.01,0.556334216
1.51,0.133191627
2.01,0.265919284
2.51,0.201233755
3.01,0.652518063
3.51,0.477766634
4.01,0.472883284
4.51,0.265554058
5.01,0.028086039
5.51,0.147406683
6.01,0.316091994
6.51,-0.150255124
7.01,-0.332957098
7.51,-0.216120433
8.01,1.064822405
8.51,0.645511642
9.01,0.616837934
9.51,0.527024142
10.01,-0.062356544
10.51,0.029031657
11.01,0.243644424
11.51,0.26872402
12.01,0.260371238
12.51,0.024889972
13.01,-0.039496305
13.51,0.274044895
14.01,0.290630401
14.51,-0.027244926
15.01,0.399060864
15.51,0.217880532
16.01,0.236723118
16.51,0.215735623
17.01,0.116215578
17.51,0.140716075
18.01,0.053808004
18.51,-0.125509163
19.01,0.008151058
19.51,0.176404449
20.01,-0.051899216
20.51,0.073509837
21.01,0.160202399
21.51,0.20906237
22.01,-0.010144808
22.51,-0.060410721
23.01,-0.065862887
23.51,0.202541808
24,0.311907444
0.51,0.602142843
1.01,0.421055311
1.51,0.328787823
2.01,-0.819981268
2.51,-0.74953332
3.01,0.183376161
3.51,0.421853027
4.01,-0.084062654
4.51,-0.03847682
5.01,-0.176816964
5.51,-0.077053068
6.01,-0.275648616
6.51,-0.351837318
7.01,0.0340053
7.51,-0.170320405
8.01,-0.213877022
8.51,-0.378188368
9.01,-0.246526717
9.51,-0.13516814
10.01,-0.365307905
10.51,-0.2517017
11.01,-0.378365663
11.51,-0.279899519
12.01,0.784311226
12.51,0.984195316
13.01,0.327022071
13.51,0.247134399
14.01,0.199014462
14.51,0.159766947
15.01,0.559154968
15.51,0.468585705
16.01,1.030252195
16.51,0.930200659
17.01,0.506236523
17.51,0.602235451
18.01,-0.544162508
18.51,-0.643756797
19,-0.663436164
0.51,0.968938344
1.01,1.120466917
1.51,0.220052593
2.01,0.085581716
2.51,0.069541042
3.01,-0.190327785
3.51,-0.182206284
4.01,-0.15510085
4.51,0.078920919
5.01,-0.102517857
5.51,0.373791936
6.01,0.379751429
6.51,0.209894521
7.01,0.700131083
7.51,0.59024008
8.01,0.388271723
8.51,0.486462835
9.01,0.728718216
9.51,0.489455509
10.01,0.241324355
10.51,0.167016692
11.01,0.135973861
11.51,0.169755182
12.01,0.149303452
12.51,-0.001414955
13.01,0.128922729
13.51,0.078319753
14.01,0.119484787
14.51,0.073722652
15.01,0.063257289
15.51,0.145740958
16.01,0.184721178
16.51,0.166945871
17.01,0.290629939
17.51,0.533365239
18.01,0.054863445
18.51,-0.203065201
19.01,0.500604369
19.51,0.688611621
20,0.748629453
0.51,0.33804964
1.01,0.858574436
1.51,0.16357042
2.01,-0.045604554
2.51,-0.40340853
3.01,-0.308672433
3.51,-0.109401323
4.01,-0.009554474
4.51,-1.158409343
5.01,-0.467984593
5.51,-0.116346663
6.01,-0.039579194
6.51,-0.232779364
7.01,0.206644342
7.51,0.101018719
8.01,-0.275616006
8.51,-0.086181002
9.01,0.470475109
9.51,0.646152937
10.01,0.281805693
10.51,0.023242907
11.01,-0.094005946
11.51,-0.247351837
12.01,0.508686205
12.51,0.140437224
13.01,-0.841289584
13.51,0.22276447
14.01,-0.719797738
14.51,0.384383036
15.01,0.680352139
15.51,0.373705202
16.01,0.274331087
16.51,0.59624872
17.01,0.308837263
17.51,0.067795403
18.01,-0.105476731
18.51,0.067511407
19.01,-0.094370362
19.51,-0.261030352
20.01,-0.270853174
20.51,-0.349481293
21.01,-0.347394449
21.51,-0.382223338
22.01,-0.3602821
22.51,-0.41904038
23,-0.461751284
0.51,1.837123439
1.01,-0.306901421
1.51,1.163044996
2.01,0.144241594
2.51,-0.28164333
3.01,-0.137136381
3.51,-0.306391444
4.01,-0.106407708
4.51,-0.201518725
5.01,0.058808426
5.51,-0.153839189
6.01,0.171102027
6.51,0.06287564
7.01,0.106407052
7.51,0.393517224
8.01,0.482579747
8.51,0.14300286
9.01,0.022702667
9.51,0.023556683
10.01,-0.407566158
10.51,-0.46705473
11.01,0.365846522
11.51,-0.252421693
12.01,-0.309360447
12.51,-0.251930146
13.01,-0.302732758
13.51,-0.179403453
14.01,0.041973495
14.51,-0.23228014
15.01,-0.254551928
15.51,-0.117244645
16.01,0.045712949
