max_depth_CPT,A07-P,A07-H,R09,Mc15,Mc18
15,-0.464711005,-0.268019622,-0.440897736,-0.015660736,-0.681238547
15,0.045902157,0.242556628,0.067533976,0.480874977,-0.287554318
16,-0.316261523,-0.119586039,-0.296450889,0.088974857,-0.694362605
16,0.171421261,0.368102827,0.79721654,0.523460778,-0.367177491
17,-0.48296287,-0.286240501,-0.521589489,-0.075329107,-0.878846777
17,-0.335063933,-0.138366676,-0.301989212,0.081936719,-0.645645224
17,0.072187152,0.268917414,0.036217324,0.499091703,-0.291586532
17,-0.006271978,0.190405614,-0.004342702,0.425002857,-0.28671183
17,0.130148549,0.326826662,0.125454076,0.531524535,-0.295519266
18,-0.660511667,-0.463799136,-0.728362087,-0.292523975,-1.012505611
18,-0.387924014,-0.191183862,-0.361808118,0.008601195,-0.780006075
18,0.174759167,0.37151848,0.155195522,0.600561753,-0.224584993
18,0.514035438,0.710808323,0.554177881,0.915161366,0.142240258
18,0.585040599,0.781755069,0.683828441,1.008236153,0.240214118
19,-0.220699012,-0.02396646,-0.172660421,0.121780483,-0.750664582
19,-0.215940752,-0.019203068,-0.14161954,0.138289335,-0.701438876
19,0.064026256,0.26073381,0.026540423,0.478673002,-0.341921979
19,-0.039053596,0.157632476,0.134283374,0.359541017,-0.319852704
19,-0.014626441,0.182073638,0.068271081,0.398716995,-0.338248539
19,0.126300741,0.323047028,0.225426136,0.542873461,-0.171432573
20,-0.486438067,-0.289685587,-0.313612035,-0.214691309,-1.173136622
20,-0.404695218,-0.207969801,-0.426274369,-0.06306186,-0.80222833
20,-0.488746892,-0.292008922,-0.480895839,-0.079135709,-0.79867446
20,-0.26191662,-0.065163592,-0.115399357,0.089840562,-0.670906505
20,-0.354237156,-0.157554218,-0.304015738,0.033597156,-0.685774226
20,-0.392736657,-0.195998112,-0.321024972,0.014609919,-0.693937355
20,-0.364613045,-0.167886408,-0.267953524,0.026114366,-0.693924904
20,-0.382349807,-0.185617453,-0.332756774,0.020075785,-0.710438678
20,-0.393849034,-0.197136804,-0.335283647,0.013955569,-0.696145387
20,-0.490926998,-0.294240738,-0.457319499,-0.097822987,-0.709305205
20,-0.395708512,-0.199011421,-0.343298076,0.014867025,-0.668453762
20,-0.469834609,-0.273122565,-0.425732197,-0.057483854,-0.701354459
20,-0.316579916,-0.119901444,-0.207297927,0.084389367,-0.662289192
20,-0.386714297,-0.189983796,-0.360994498,0.037450916,-0.64322128
20,-0.44708984,-0.250351303,-0.378413517,-0.030076127,-0.65480801
20,-0.353469813,-0.156774101,-0.348088936,0.059528208,-0.610900554
20,-0.297134857,-0.100413094,-0.235528812,0.064716062,-0.604504469
20,-0.382737309,-0.18600426,-0.359810519,0.049430865,-0.625439534
20,-0.341309308,-0.144569242,-0.289988454,0.074561384,-0.581172972
20,-0.39965922,-0.202972015,-0.362721007,0.033244377,-0.60894496
20,-0.440943554,-0.244252075,-0.372512102,-0.0128646,-0.634127472
20,0.113193897,0.309848618,0.172822302,0.463999298,-0.37995867
20,-0.030331766,0.166378529,0.118282528,0.35476238,-0.330022004
20,-0.036041673,0.160656275,0.123724999,0.352157359,-0.307213374
19,-0.160089995,0.03665435,-0.114035051,0.249402006,-0.388520236
19,-0.107710693,0.089007161,-0.012509184,0.300954627,-0.360256033
17,-0.200129266,-0.003431032,-0.196715481,0.25927098,-0.410711592
19,-0.135337228,0.061406613,-0.081315127,0.272913482,-0.353685544
20,0.196128628,0.392872864,0.246852745,0.579753027,-0.245154339
20,0.318159029,0.514876034,0.262573883,0.771114791,-0.047616733
20,0.4464501,0.643114606,0.523178557,0.865561633,0.110259183
19,-0.110953317,0.085768265,0.008107037,0.314816058,-0.368680144
20,0.051116582,0.247851372,0.062137396,0.445250485,-0.354024103
21,0.288591577,0.485271101,0.351439754,0.664765888,-0.1647116
22,0.226913104,0.423627836,0.306721924,0.614823695,-0.181541645
23,-0.086187217,0.110477328,0.04667868,0.28562691,-0.459178688
23,0.103405458,0.300138166,0.12705188,0.533250352,-0.249999353
23,0.120000376,0.316758051,0.226335773,0.492041448,-0.305313823
23,0.44257348,0.639251412,0.615357485,0.833055564,0.107311502
23,0.314265695,0.511005423,0.442807053,0.717487031,-0.038833412
24,-0.025046412,0.171631984,0.234491957,0.315469205,-0.371656198
24,-0.002654775,0.194076269,0.278280573,0.316209985,-0.370020552
24,0.002208644,0.198961665,0.186832377,0.362216292,-0.309756097
24,0.070924218,0.267636752,0.19724865,0.459180538,-0.258310975
24,0.201409928,0.39809025,0.299651926,0.578667776,-0.202874895
24,0.363695624,0.560419716,0.472856554,0.774730004,0.017965793
24,0.488082145,0.684758558,0.557545174,0.893915318,0.121100296
24,0.436203528,0.632928971,0.571112952,0.83961894,0.134146544
24,0.399136719,0.595844656,0.538440548,0.765909967,-0.023123457
25,0.190123188,0.386818971,0.364559223,0.532379425,-0.278603009
26,0.053642901,0.250370594,0.339174047,0.348573115,-0.433091027
26,0.112663932,0.30942785,0.217434778,0.494180876,-0.25098966
26,0.097554761,0.294272597,0.15797342,0.489730423,-0.303303045
27,0.079260246,0.275963448,0.335136982,0.386877629,-0.307895328
27,0.10348588,0.300215409,0.186630281,0.449063992,-0.365540278
28,0.033016727,0.22974388,0.224430622,0.331223161,-0.500146585
28,0.189313489,0.386043815,0.404155381,0.485632925,-0.3490157
28,0.161548126,0.358248722,0.356756286,0.466479764,-0.375150026
29,0.05363981,0.250317419,0.288371064,0.281266407,-0.581632311
29,0.085676048,0.2823667,0.175973962,0.480555348,-0.256680724
29,-0.073454266,0.12326644,0.281921577,0.213988371,-0.584172125
29,-0.437887324,-0.241186718,-0.389065591,-0.055296091,-0.719917639
28,0.140241916,0.336956244,0.207946496,0.47643582,-0.312759166
29,0.044731113,0.241476885,0.156412848,0.368272222,-0.442438693
29,0.02771455,0.224441073,0.017475462,0.325669798,-0.504039162
29,0.089331236,0.286050079,0.224380549,0.428244515,-0.411128221
29,-0.01352971,0.183167086,0.353200114,0.248479803,-0.392342154
29,0.055678207,0.252392418,0.362615259,0.347724535,-0.330286958
25,-0.089428611,0.107292475,0.070363833,0.28873815,-0.377141708
23,0.02368883,0.220440717,0.183124209,0.383237744,-0.363318759
23,-0.024969857,0.1717299,-0.392438256,0.197734504,-0.665783582
24,0.078842427,0.275524234,0.052396635,0.371297151,-0.487880605
23,-0.055124726,0.141589613,-0.007540923,0.323560136,-0.33468009
15,0.132088465,0.32883679,0.048586592,0.564706568,-0.158037045
18,-0.02102969,0.175709687,2.415352266,0.274636606,-0.646457276
29,0.434783266,0.631496195,0.449248409,0.790342153,-0.025638458
18,0.147251027,0.344025106,0.222224524,0.52434153,-0.285796176
29,-0.098000085,0.098710209,-0.00644981,0.289386328,-0.435471646
19,0.385335234,0.582031072,0.246646584,0.825580573,-0.013211894
17,0.84304027,1.03976996,-0.026649721,0.806109853,-0.409446505
17,-0.066713275,0.129986399,0.046226605,0.361581167,-0.300731093
16,-0.096414723,0.100320459,-0.045418349,0.249720536,-0.63960011
19,-0.127349458,0.069382042,0.058065808,0.172052244,-0.724950697
24,0.197470129,0.394200052,0.427895855,0.488231214,-0.369096157
19,0.116419645,0.313111555,0.529129294,0.476508963,-0.370838375
19,0.051103001,0.247794912,0.463812651,0.411192319,-0.436155018
20,-0.029158825,0.16756382,0.069741733,0.375336201,-0.334066923
21,-0.073749931,0.122966259,-0.013819983,0.327925756,-0.379937678
16,0.328513853,0.525256059,0.303483555,0.759526394,-0.004709695
19,0.083754694,0.280457831,0.118029092,0.482956191,-0.311765205
28,0.142920569,0.339607771,0.301604063,0.47403804,-0.168710745
28,0.027112999,0.223843292,0.116930014,0.366314347,-0.44811643
17,-0.276097251,-0.079325458,-0.262193537,0.101079118,-0.729495802
29,-0.218851983,-0.022124928,0.001680774,0.118758141,-0.537586042
27,-0.004913532,0.191783976,0.116798396,0.34627284,-0.327076588
18,-0.141998844,0.054738946,-0.088917762,0.266844646,-0.43985245
24,-0.217517237,-0.020787981,-0.075162534,0.15515629,-0.583206164
17,0.150170191,0.346848079,0.173606498,0.58206958,-0.17014263
28,-0.038265681,0.158442862,0.090437793,0.315392669,-0.294241935
19,-0.125490797,0.071202017,-0.008823957,0.293489398,-0.383084331
15,0.021419677,0.218152384,0.145739294,0.508790731,-0.169750108
21,0.04490603,0.241574324,0.106293874,0.447324059,-0.244936262
25,0.075161318,0.271854326,0.189807299,0.454100596,-0.221897077
29,0.124756998,0.321476613,0.294136892,0.464372703,-0.17683762
15,0.329962422,0.52669513,0.454282039,0.817333477,0.138792638
22,0.310210309,0.506963096,0.443518337,0.702109717,-0.007603514
19,0.221780522,0.418502119,0.244601999,0.645370955,-0.074146644
28,-0.195904353,0.000812159,1.645451249,0.136742441,-0.549198463
27,-0.175460466,0.021249828,0.951076848,0.17952206,-0.491808329
28,-0.184380946,0.012333378,-0.018383581,0.163752008,-0.494671781
