Station,Longitude,Latitude,Vs30,  Q_Vs30,  Site Class,  Network,  
014A   ,176.8754973,-39.49995332,150,  Q2    ,  E         ,  SM     ,
015A   ,176.8981976,-39.48905314,1000,  Q3    ,  B         ,  SM     ,
016A   ,178.0310143,-38.6774391,480,  Q3    ,  C         ,  SM     ,
017A   ,178.0227143,-38.66623886,138,  Q2    ,  D         ,  SM     ,
018A   ,178.0249143,-38.66403882,138,  Q2    ,  D         ,  SM     ,
021A   ,176.3156942,-38.42493057,210,  Q3    ,  D         ,  SM     ,
024A   ,174.0739644,-39.05703788,350,  Q3    ,  D         ,  SM     ,
025A   ,174.2734648,-39.58494918,210,  Q2    ,  C         ,  SM     ,
027A   ,176.8959975,-39.50455346,150,  Q3    ,  E         ,  SM     ,  
#027C   ,176.8959975,-39.50455346,150,  Q3    ,  E         ,  SM     , 
027F   ,176.9189979,-39.48855318,268,  Q3    ,  C         ,  SM     ,  
#027G   ,176.9189979,-39.48855318,268,  Q3    ,  C         ,  SM     , 
028A   ,177.2840074,-38.00792469,210,  Q3    ,  D         ,  SM     ,  
029A   ,176.8429964,-39.64545628,182,  Q3    ,  D         ,  SM     ,  
032A   ,176.5873921,-39.94246199,495,  Q3    ,  C         ,  SM     ,  
033A   ,176.098485,-40.20876664,367,  Q3    ,  C         ,  SM     ,  
033C   ,176.095485,-40.21026666,403,  Q3    ,  C         ,  SM     ,  
034A   ,176.313987,-40.39827123,800,  Q3    ,  B         ,  SM     ,  
039D   ,175.6596767,-40.94828199,314,  Q3    ,  D         ,  SM     ,  
#039E   ,175.6596767,-40.94828199,314,  Q3    ,  D         ,  SM     , 
040A   ,175.2268686,-41.57629542,770,  Q3    ,  B         ,  SM     ,  
042A   ,172.8304338,-42.52331224,280,  Q3    ,  D         ,  SM     ,  
044A   ,170.5092855,-45.89839582,140,  Q2    ,  D         ,  SM     ,  
046A   ,173.2831453,-41.27108366,210,  Q3    ,  D         ,  SM     ,  
048C   ,173.9571528,-41.51379094,235,  Q3    ,  D         ,  SM     ,  
#048D   ,173.9571528,-41.51379094,235,  Q3    ,  D         ,  SM     , 
050A   ,173.0096425,-41.12457961,300,  Q3    ,  D         ,  SM     ,  
051B   ,171.5989218,-41.75549051,299.7,  Q3    ,  D         ,  SM     ,  
#051D   ,171.5989218,-41.75549051,299.7,  Q3    ,  D         ,  SM     , 
052A   ,171.8604234,-42.11659981,333,  Q3    ,  C         ,  SM     ,  
053A   ,172.3329281,-42.3786074,391,  Q3    ,  C         ,  SM     ,  
054A   ,169.0430779,-43.88253612,210,  Q3    ,  D         ,  SM     ,  
055A   ,171.2106134,-42.44880609,210,  Q3    ,  D         ,  SM     ,  
056A   ,173.2851453,-41.27578377,450,  Q3    ,  B         ,  SM     ,  
057A   ,170.9643089,-42.71781202,277.8,  Q3    ,  D         ,  SM     ,  
059A   ,172.7140389,-41.09407816,1000,  Q3    ,  B         ,  SX     ,  
060B   ,173.2732382,-42.81412056,270,  Q3    ,  D         ,  SM     ,  
070A   ,167.7192512,-45.41637366,297.5,  Q3    ,  D         ,  SM     ,  
075A   ,169.738873,-46.23420328,400,  Q3    ,  D         ,  SM     ,  
080B   ,167.9263586,-44.67285377,210,  Q3    ,  C         ,  SM     ,  
081A   ,175.8059859,-38.98874056,200,  Q3    ,  D         ,  SM     ,  
083A   ,171.6606222,-41.83109247,1200,  Q3    ,  B         ,  SM     ,  
085D   ,176.8169014,-38.11352569,350,  Q3    ,  C         ,  SX     ,  
085M   ,176.8168764,-38.11300868,350,  Q3    ,  C         ,  SX     ,  
085N   ,176.8147154,-38.11311168,350,  Q3    ,  C         ,  SX     ,  
087A   ,175.145475,-39.71625399,1000,  Q3    ,  B         ,  SM     ,  
087B   ,175.139675,-39.71655398,1000,  Q3    ,  B         ,  SM     ,  
087C   ,175.1381749,-39.71705399,425,  Q3    ,  C         ,  SM     ,  
087D   ,175.1321749,-39.71745398,1000,  Q3    ,  B         ,  SM     ,  
089A   ,169.1430744,-44.69465812,325.8,  Q3    ,  D         ,  SM     ,  
090A   ,171.9539258,-41.85529383,270,  Q3    ,  C         ,  SM     ,  
092A   ,175.8073829,-39.80125729,270,  Q3    ,  D         ,  SM     ,  
096A   ,177.4235057,-39.03374495,155,  Q2    ,  D         ,  SM     ,  
099B   ,178.2977186,-38.37243369,210,  Q3    ,  D         ,  SM     ,  
102A   ,175.5668812,-39.4637497,555,  Q3    ,  C         ,  SM     ,  
103A   ,172.1806264,-42.33380591,465,  Q3    ,  C         ,  SM     ,  
110C   ,175.809683,-39.79495716,270,  Q3    ,  D         ,  SM     ,  
112A   ,171.7693172,-43.13252461,667,  Q3    ,  C         ,  SM     ,  
#112B   ,171.7693172,-43.13252461,667,  Q3    ,  C         ,  SM     , 
113A   ,177.5847115,-37.87352279,522,  Q3    ,  C         ,  SM     ,  
114A   ,175.4304768,-40.18046453,387,  Q3    ,  D         ,  SM     ,  
118A   ,169.2233734,-45.0386678,1000,  Q3    ,  B         ,  SM     ,  
118B   ,169.2192734,-45.03866779,520,  Q3    ,  C         ,  SM     ,  
120A   ,175.8681817,-40.33496887,289.8,  Q3    ,  D         ,  SM     ,  
122A   ,172.3248308,-41.80249356,500,  Q3    ,  D         ,  SM     ,  
123A   ,175.1445516,-41.08329987,615.8,  Q3    ,  C         ,  SX     ,  
129A   ,172.3271308,-41.79999351,500,  Q3    ,  D         ,  SM     ,  
130B   ,173.2029425,-41.6695927,367,  Q3    ,  D         ,  SX     ,  
131A   ,175.0043685,-40.91407972,210,  Q3    ,  D         ,  SM     ,  
132A   ,174.7809641,-41.29748792,245,  Q2    ,  C         ,  SM     ,  
214A   ,177.2841074,-38.00492463,210,  Q3    ,  E         ,  SM     ,  
225B   ,177.4235057,-39.03384495,155,  Q3    ,  D         ,  SM     ,  
240A   ,175.2882733,-40.61887378,600,  Q3    ,  D         ,  SM     ,  
249A   ,174.9170661,-41.2349868,350,  Q2    ,  C         ,  SM     ,  
257A   ,173.0118426,-41.11017929,210,  Q3    ,  D         ,  SM     ,  
259A   ,173.2832453,-41.27108366,210,  Q3    ,  D         ,  SM     ,  
261A   ,173.7668514,-41.27968506,330,  Q3    ,  D         ,  SM     ,  
262A   ,174.0082544,-41.28888587,400,  Q3    ,  C         ,  SM     ,  
264A   ,172.881539,-41.54358894,390,  Q3    ,  D         ,  SM     ,  
265A   ,172.3182307,-41.80219354,280,  Q3    ,  D         ,  SM     ,  
266A   ,171.5990218,-41.75549051,299.7,  Q3    ,  D         ,  SM     ,  
#267A   ,171.8604234,-42.11659981,333,  Q3    ,  C         ,  SM     , 
268A   ,171.2107134,-42.44890609,210,  Q3    ,  D         ,  SM     ,  
270A   ,173.6820453,-42.40751156,500,  Q3    ,  C         ,  SM     ,  
272A   ,170.9643089,-42.71771202,277.8,  Q3    ,  D         ,  SM     ,  
274A   ,172.5832258,-43.52053669,150,  Q3    ,  E         ,  SM     ,  
275A   ,172.5382254,-43.48893576,400,  Q3    ,  D         ,  SM     ,  
301A   ,175.6151784,-40.35526874,341.3,  Q3    ,  D         ,  SM     ,  
302A   ,175.052973,-39.93375837,250,  Q2    ,  D         ,  SM     ,  
340A   ,175.6164783,-40.38626942,282.6,  Q3    ,  D         ,  SM     ,  
464A   ,174.9134661,-41.2307867,210,  Q3    ,  D         ,  SM     ,  
465A   ,174.9543667,-41.20578622,600,  Q3    ,  C         ,  SM     ,  
#465B   ,174.9543667,-41.20578622,600,  Q3    ,  C         ,  SM     , 
467A   ,174.9023659,-41.24248694,218.3,  Q3    ,  D         ,  SM     ,  
468A   ,174.9546667,-41.20108611,190,  Q1    ,  D         ,  SM     ,  
469A   ,174.903166,-41.21208625,240,  Q3    ,  D         ,  SM     ,  
504A   ,168.9458632,-46.09869696,270,  Q3    ,  D         ,  SM     ,  
505A   ,171.5668155,-42.94831943,300,  Q2    ,  C         ,  SM     ,  
507A   ,170.9695962,-45.10007459,312.2,  Q3    ,  C         ,  SM     ,  
601A   ,174.8718656,-41.2262865,160.5,  Q3    ,  D         ,  SM     ,  
602C   ,174.9279664,-41.19028581,1000,  Q3    ,  B         ,  SM     ,  
603B   ,174.859994,-41.223721,1000,  Q3    ,  B         ,  SM     ,  
604A   ,174.908966,-41.23048668,262.5,  Q3    ,  D         ,  SM     ,  
605B   ,174.9406665,-41.20748623,760,  Q3    ,  B         ,  SM     ,  
606B   ,174.9198662,-41.23328677,800,  Q3    ,  B         ,  SM     ,  
608A   ,174.8793657,-41.22408646,200,  Q2    ,  D         ,  SM     ,  
640A   ,174.9146661,-41.2349868,230,  Q3    ,  E         ,  SM     ,  
641A   ,174.9168661,-41.23128672,210,  Q3    ,  E         ,  SM     ,  
642A   ,174.9171661,-41.2349868,350,  Q1    ,  C         ,  SM     ,  
642E   ,174.9179661,-41.23408678,350,  Q1    ,  C         ,  SM     ,  
#642G   ,174.9171661,-41.2349868,350,  Q1    ,  C         ,  SM     , 
#642H   ,174.9171661,-41.2349868,350,  Q1    ,  C         ,  SM     , 
643B   ,174.9793672,-41.15128503,1000,  Q3    ,  B         ,  SM     ,  
644C   ,174.8825757,-41.21869635,188.7,  Q3    ,  D         ,  SM     ,  
646A   ,174.9481664,-41.25708738,120,  Q1    ,  E         ,  SM     ,  
646B   ,174.9479664,-41.25628736,120,  Q1    ,  E         ,  SM     ,  
#646C   ,174.9479664,-41.25628736,120,  Q1    ,  E         ,  SM     , 
647A   ,174.7779641,-41.28708767,473.56,  Q2    ,  C         ,  SM     ,  
647D   ,174.7769441,-41.28751768,473.56,  Q2    ,  D         ,  SM     ,  
648A   ,174.7734641,-41.27748744,330,  Q3    ,  C         ,  SM     ,  
651A   ,174.9232663,-41.20468612,330,  Q2    ,  D         ,  SM     ,  
705B   ,174.8506657,-41.13878445,570,  Q3    ,  C         ,  SM     ,  
706A   ,174.8381655,-41.12878419,210,  Q3    ,  C         ,  SM     ,  
707A   ,174.8501657,-41.13908445,570,  Q3    ,  C         ,  SM     ,  
708A   ,174.8389655,-41.13128425,275,  Q3    ,  C         ,  SM     ,  
709A   ,177.9205131,-38.62743789,245,  Q3    ,  D         ,  SM     ,  
711A   ,174.904666,-41.22998666,233.5,  Q3    ,  D         ,  SM     ,  
712A   ,176.985204,-37.96102318,210,  Q3    ,  D         ,  SM     ,  
713A   ,174.8392396,-41.12569412,210,  Q3    ,  D         ,  SM     ,  
900B   ,174.7789641,-41.29208779,267,  Q2    ,  D         ,  SM     ,  
900C   ,174.7798641,-41.28908772,250,  Q3    ,  D         ,  SM     ,  
902A   ,174.7792582,-41.27755446,275.2,  Q2    ,  D         ,  SM     ,  
907A   ,174.7784642,-41.27878748,250,  Q2    ,  D         ,  SM     ,  
911A   ,174.7768641,-41.2885877,358,  Q2    ,  C         ,  SM     ,  
912A   ,174.8084644,-41.32628865,239,  Q2    ,  D         ,  SM     ,  
913A   ,174.7726641,-41.28748767,1000,  Q3    ,  B         ,  SM     ,  
914A   ,174.773464,-41.29498784,282,  Q2    ,  D         ,  SM     ,  
#914B   ,174.773464,-41.29498784,282,  Q2    ,  D         ,  SM     , 
914C   ,174.7740641,-41.29468784,270,  Q2    ,  D         ,  SM     ,  
916A   ,174.7756641,-41.29408783,291,  Q2    ,  D         ,  SM     ,  
918B   ,174.768164,-41.28408758,1000,  Q3    ,  B         ,  SM     ,  
918C   ,174.768164,-41.28448759,1000,  Q3    ,  B         ,  SM     ,  
919A   ,174.7768641,-41.29358782,307,  Q2    ,  D         ,  SM     ,  
920A   ,174.7798641,-41.30878818,210,  Q3    ,  C         ,  SM     ,  
#921A   ,174.7734641,-41.27748744,330,  Q3    ,  C         ,  SM     , 
925A   ,173.2773453,-41.26578352,210,  Q3    ,  D         ,  SM     ,  
926A   ,176.9168978,-39.48825317,651,  Q3    ,  C         ,  SM     ,  
928B   ,176.8801967,-39.67105689,425,  Q3    ,  D         ,  SM     ,  
930A   ,176.829402,-37.98852336,150,  Q3    ,  E         ,  SM     ,  
931B   ,176.7030001,-38.08572492,320,  Q3    ,  D         ,  SM     ,  
933B   ,176.1581949,-37.69871651,228.6,  Q3    ,  D         ,  SM     ,  
934B   ,174.907966,-41.24358698,180,  Q1    ,  D         ,  SM     ,  
935A   ,174.9046661,-41.21078622,240,  Q3    ,  D         ,  SM     ,  
#935B   ,174.9046661,-41.21078622,240,  Q3    ,  D         ,  SM     , 
#935C   ,174.9046661,-41.21078622,240,  Q3    ,  D         ,  SM     , 
940A   ,168.6630661,-45.0316659,353.8,  Q3    ,  D         ,  SM     ,  
941A   ,174.7789641,-41.29208779,272,  Q2    ,  D         ,  SM     ,  
ADCS   ,171.747563,-43.9024444,270,  Q3    ,  D         ,  SM     ,  
AICS   ,171.6243571,-42.76818509,210,  Q3    ,  D         ,  SM     ,  
AKSS   ,172.96349,-43.81091,435,  Q1    ,  C         ,  SM     ,  
AMBC   ,172.7308795,-43.15467772,270,  Q3    ,  D         ,  SC     ,  
APPS   ,171.5677355,-42.94894944,300,  Q2    ,  C         ,  SM     ,  
ARKS   ,174.9440964,-41.24207703,270,  Q3    ,  C         ,  SM     ,  
ARPS   ,171.4078656,-42.52395847,333,  Q3    ,  D         ,  SM     ,  
ASHS   ,172.5959472,-43.27441041,270,  Q3    ,  D         ,  SM     ,  
AVIS   ,170.3569606,-44.65522063,1000,  Q3    ,  B         ,  SX     ,  
BDCS   ,169.7193727,-46.24906366,1000,  Q3    ,  B         ,  SM     ,  
BENS   ,170.192979,-44.56296765,1000,  Q3    ,  B         ,  SX     ,  
BFZ    ,176.2462451,-40.67964728,1000,  Q3    ,  B         ,  NZ     ,  
BKZ    ,176.4925437,-39.16566564,1000,  Q3    ,  B         ,  NZ     ,  
BMTS   ,174.92603,-41.191372,900,  Q3    ,  B         ,  SM     ,  
BTWS   ,173.1285128,-41.38923599,210,  Q3    ,  D         ,  SM     ,  
BWHS   ,172.6821837,-43.480415,210,  Q3    ,  D         ,  SM     ,  
BWRS   ,173.9051179,-41.43954404,760,  Q3    ,  B         ,  SM     ,  
CACS   ,172.5300153,-43.48317559,435,  Q1    ,  D         ,  SM     ,  
CBGS   ,172.6198762,-43.52934701,197,  Q1    ,  D         ,  SM     ,  
CCCC   ,172.647427,-43.538085,182,  Q1    ,  D         ,  SC     ,  
CCPS   ,172.6323264,-43.53223712,210,  Q3    ,  D         ,  SM     ,  
CECS   ,173.2748682,-42.81349055,270,  Q3    ,  D         ,  SM     ,  
CHHC   ,172.627523,-43.535929,196,  Q1    ,  D         ,  SC     ,  
CMHS   ,172.6241761,-43.56561796,213,  Q1    ,  D         ,  SM     ,  
CPFS   ,176.2209639,-40.89876213,350,  Q3    ,  C         ,  SM     ,  
CRLZ   ,172.6232261,-43.57474819,900,  Q2    ,  B         ,  NZ     ,  
CSBF   ,166.8693409,-45.29306745,1500,  Q3    ,  A         ,  XX     ,  
CSHS   ,171.7235561,-43.22652687,270,  Q3    ,  D         ,  SM     ,  
CSTC   ,172.3813342,-43.31229082,425,  Q3    ,  D         ,  SC     ,  
CUBS   ,174.774381,-41.295463,250,  Q3    ,  D         ,  SM     ,  
CULC   ,172.8026023,-42.759438,270,  Q3    ,  D         ,  SC     ,  
CVZ    ,171.00616,-44.38318,1000,  Q3    ,  B         ,  NZ     ,  
D07C   ,172.67574,-43.51728,210,  Q3    ,  E         ,  XX     ,  
#D13C   ,172.644913,-43.606541,1000,  Q3    ,  B         ,  XX     , 
D14C   ,172.624664,-43.632534,1000,  Q3    ,  B         ,  XX     ,  
#D15C   ,172.725601,-43.584671,1000,  Q3    ,  B         ,  XX     , 
DALS   ,172.67323,-43.51198,210,  Q3    ,  E         ,  SM     ,  
DAVS   ,174.9543598,-41.20578668,600,  Q3    ,  C         ,  SM     ,  
DCDS   ,170.5021555,-45.87433511,600,  Q3    ,  C         ,  SM     ,  
DCZ    ,167.1535335,-45.46471319,1500,  Q3    ,  A         ,  NZ     ,  
DECF   ,166.9727428,-45.20256527,1500,  Q3    ,  A         ,  XX     ,  
DFHS   ,172.1021597,-43.48967462,270,  Q3    ,  D         ,  SM     ,  
DGNS   ,170.5139057,-45.8625648,600,  Q3    ,  C         ,  SM     ,  
DHSS   ,172.72725,-43.63026,690,  Q3    ,  C         ,  SM     ,  
DKHS   ,170.4929352,-45.90222588,210,  Q3    ,  D         ,  SM     ,  
DORC   ,172.0938275,-43.89676518,270,  Q3    ,  D         ,  SC     ,  
DSLC   ,172.19792,-43.66749947,270,  Q3    ,  D         ,  SC     ,  
DSZ    ,171.8046144,-41.74496082,450,  Q3    ,  C         ,  NZ     ,  
DUNS   ,170.4706449,-45.9051559,500,  Q2    ,  C         ,  SM     ,  
DVHS   ,176.1013651,-40.20169649,360,  Q3    ,  C         ,  SM     ,  
EAZ    ,169.3082534,-45.2310534,1000,  Q3    ,  B         ,  NZ     ,  
EBPS   ,174.9002357,-41.28942801,540,  Q2    ,  C         ,  SM     ,  
#EKS1   ,175.990997,-40.671276,900,  Q3    ,  B         ,  XX     , 
EKS2   ,175.80688,-40.74339,270,  Q3    ,  D         ,  SM     ,  
EKS3   ,175.8224,-40.60051,270,  Q3    ,  D         ,  SM     ,  
EKTS   ,175.7088284,-40.64949542,800,  Q3    ,  C         ,  SM     ,  
EYRS   ,172.35544,-43.42138,270,  Q3    ,  D         ,  SM     ,  
FAHS   ,175.5730484,-40.21353557,270,  Q3    ,  D         ,  SM     ,  
FAIS   ,174.9401,-41.2074,760,  Q3    ,  B         ,  SM     ,  
FDCS   ,170.8286999,-44.09865703,301,  Q3    ,  D         ,  SM     ,  
FGPS   ,170.0198028,-43.46320814,270,  Q3    ,  D         ,  SM     ,  
FJDS   ,170.1842354,-43.38913671,210,  Q3    ,  D         ,  SM     ,  
FKPS   ,174.7787641,-41.28794769,250,  Q3    ,  D         ,  SM     ,  
FOZ    ,169.8154798,-43.53209931,1000,  Q3    ,  B         ,  NZ     ,  
FTPS   ,175.3274418,-41.1187051,270,  Q3    ,  D         ,  SM     ,  
FXBS   ,175.2260331,-40.46136017,210,  Q3    ,  D         ,  SM     ,  
GDLC   ,172.088753,-43.586183,270,  Q3    ,  D         ,  SC     ,  
GHHS   ,178.01772,-38.64178,270,  Q3    ,  D         ,  SM     ,  
GISS   ,178.0226743,-38.66648887,138,  Q2    ,  D         ,  SM     ,  
GKBS   ,178.03188,-38.68217,800,  Q3    ,  B         ,  SM     ,  
GLWS   ,172.5110494,-42.59417315,270,  Q3    ,  D         ,  SM     ,  
GMTS   ,171.2103534,-42.4491761,210,  Q3    ,  D         ,  SM     ,  
GODS   ,172.76926,-43.5784,760,  Q3    ,  B         ,  SM     ,  
GORS   ,168.9416931,-46.10266706,400,  Q3    ,  D         ,  SM     ,  
GOVS   ,172.635725,-43.652421,690,  Q3    ,  C         ,  SM     ,  
GRZ    ,175.4578,-36.2502,1000,  Q3    ,  B         ,  NZ     ,  
GVZ    ,173.03475,-42.967365,1000,  Q3    ,  B         ,  NZ     ,  
GWTS   ,177.9215832,-38.62567786,245,  Q3    ,  D         ,  SM     ,  
HAFS   ,170.5560614,-43.14891166,210,  Q3    ,  D         ,  SM     ,  
HALS   ,172.569503,-43.59088047,210,  Q3    ,  E         ,  SM     ,  
HAVS   ,173.78467,-41.27227,1000,  Q3    ,  B         ,  SM     ,  
HAZ    ,177.7826,-37.7561,600,  Q3    ,  C         ,  NZ     ,  
HCDS   ,176.8429064,-39.64584629,182,  Q2    ,  D         ,  SM     ,  
HDWS   ,169.0441479,-43.88300614,210,  Q3    ,  D         ,  SM     ,  
HHSS   ,172.5928,-43.5575,210,  Q3    ,  D         ,  SM     ,  
HIBS   ,175.0359,-41.1399,210,  Q3    ,  D         ,  SM     ,  
HMCS   ,170.9639589,-42.716922,278,  Q3    ,  D         ,  SM     ,  
HNPS   ,176.8801067,-39.67101689,425,  Q3    ,  D         ,  SM     ,  
HOCS   ,175.2794232,-40.62164383,600,  Q3    ,  D         ,  SM     ,  
