Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T
027C,-39.50455346,176.8959975,14,D,230,0.0176,Q2,Stolte et al. 2021 unpublished,0.87,0.2,Q2,I,Stolte et al. 2021 unpublished,163,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),6525,0.5,Q3,NZVM (2021),0,0,0
027G,-39.48855318,176.9189979,10,C,268,0.2,Q3,McVerry (2011),0.34,0.1,Q1,I,Stolte et al. 2022a,115,0.5,Q3,1,NZVM (2021),6625,0.5,Q3,NZVM (2021),0,0,0
039E,-40.94828199,175.6596767,108,D,314,0.2,Q3,McVerry (2011),1,0.3,Q3,I,McVerry (2011),83,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
048D,-41.51379094,173.9571528,4,D,235,0.2,Q3,McVerry (2011),3.2,0.2,Q2,I,Wotherspoon unpublished,95,0.597,Q2,0,Stolte et al. 2021 unpublished,1175,0.3,Q3,NZVM (2021),0,0,0
051D,-41.75549051,171.5989218,5,D,300,0.2,Q3,McVerry (2011),2.8,0.2,Q2,Mw,Unpub HVSR (Van Houtte),85,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0
112B,-43.13252461,171.7693172,655,C,275,0.2805,Q3,Foster et al. (2019) & Perrin et al. (2015),0.36,0.3,Q3,I,McVerry (2011),53,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
267A,-42.11659981,171.8604234,189,C,333,0.2,Q3,McVerry (2011),0.3,0.3,Q3,I,McVerry (2011),48,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
465B,-41.20578622,174.9543667,14,C,600,0.2,Q3,Kaiser et al. 2017,0.1,0.3,Q3,I,Kaiser et al. 2017,15,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0
642G,-41.234981,174.9171844,4,C,350,0.05,Q1,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),24,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0
642H,-41.2349868,174.9171661,4,C,350,0.05,Q1,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),24,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0
646C,-41.25628736,174.9479664,87,E,120,0.05,Q1,Kaiser & Louie (2006),1.6,0.1,Q1,Mu,Stephenson & Barker 1992,62,0.1,Q2,1,Kaiser et al. (2017),275,0.3,Q3,NZVM (2021),0,0,0
914B,-41.29498784,174.773464,16,C,282,0.1,Q2,McVerry (2011),0.49,0.2,Q2,I,Kaiser et al. 2019,41,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0
921A,-41.27748744,174.7734641,20,C,330,0.2,Q3,McVerry (2011),0.35,0.2,Q2,I,Kaiser et al. 2019,8,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0
935B,-41.21078622,174.9046661,5,D,223,0.2195,Q3,Foster et al. (2019) & Perrin et al. (2015),1.2,0.3,Q3,I,Boon et al. (2010),173,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0
935C,-41.21078622,174.9046661,5,D,223,0.2195,Q3,Foster et al. (2019) & Perrin et al. (2015),1.2,0.3,Q3,I,Boon et al. (2010),173,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0
BFZ,-40.67964728,176.2462451,405,B,800,0.2,Q3,NSHM 2021,0.04,0.1,Q1,Mw,Manea et al. 2021 unpublished,0,0.1,Q2,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),0,0.83,0
BKZ,-39.16566564,176.4925437,451,B,730,0.281,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,0,0.1,Q1,1,Kaiser et al. (2017),1475,0.5,Q3,NZVM (2021),1,0,0
CVZ,-44.38318,171.00616,303,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,0,0.3,Q3,1,Kaiser et al. (2017),1525,0.3,Q3,NZVM (2021),0,0,0
D13C,-43.606541,172.644913,259,B,1000,0.2,Q3,NSHM 2021,0.05,0.3,Q3,Mw,NSHM (2021),15,0.3,Q3,1,NSHM (2021) ,1575,0.3,Q3,NZVM (2021),0,0.3,0
D15C,-43.584671,172.725601,5,B,763,0.1905,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.2,Q2,Mn,Kaiser et al. (2013),34,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),1875,0.3,Q3,NZVM (2021),1,0,0
DCZ,-45.46471319,167.1535335,384,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,0,0.1,Q1,1,Kaiser et al. (2017),425,0.5,Q3,NZVM (2021),1,0,0
DSZ,-41.74496082,171.8046144,193,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,40,0.1,Q2,1,Kaiser et al. (2017),375,0.5,Q3,NZVM (2021),0,0.33,0
EAZ,-45.2310534,169.3082534,165,B,745,0.266,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),1,0.14,0
EKS1,-40.671276,175.990997,20,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),2,0.5,Q3,1,Kaiser et al. (2017),625,0.5,Q3,NZVM (2021),0,0.33,0
FOZ,-43.53209931,169.8154798,165,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,0,0.5,Q3,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),1,0,0
GRZ,-36.2502,175.4578,14,B,677,0.3205,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1075,0.5,Q3,NZVM (2021),0,0.18,0
GVZ,-42.967365,173.03475,22,B,714,0.2695,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),2125,0.5,Q3,NZVM (2021),0,0,0
HAZ,-37.7561,177.7826,18,B,600,0.2,Q3,Kaiser et al. 2017,0.06,0.1,Q1,I,Manea et al. 2021 unpublished,25,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0
INZ,-42.7245,171.4441,160,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,0,0.5,Q3,1,Kaiser et al. (2017),275,0.5,Q3,NZVM (2021),1,0,0
JCZ,-44.07321036,168.7854734,595,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,0,0.1,Q2,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),0,0,0
KHZ,-42.41598,173.53897,115,B,600,0.2,Q3,Perrin et al. (2015),0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,35,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),1175,0.3,Q3,NZVM (2021),0,0,0
KNZ,-39.02175522,177.6736688,178,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,0,0.1,Q2,1,Kaiser et al. (2017),4725,0.5,Q3,NZVM (2021),0,0,0
KUZ,-36.74522853,175.7208729,40,B,673,0.289,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0.25,0
LBZ,-44.38555284,170.1844199,2022,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,325,0.5,Q3,NZVM (2021),1,0,0
LTZ,-42.78166716,172.2710354,58,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,325,0.5,Q3,NZVM (2021),1,0,0
MLZ,-45.36654353,168.1184068,13,A,1500,0.2,Q3,NSHM 2021,0.05,0.2,Q2,Mn,Manea et al. 2021 unpublished,0,0.1,Q1,1,Kaiser et al. (2017),1075,0.5,Q3,NZVM (2021),1,0,0
MQZ,-43.70608168,172.6537658,454,B,750,0.2,Q3,Perrin et al. (2015),0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,23,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),975,0.3,Q3,NZVM (2021),0,0,0
MRZ,-40.66054537,175.5785268,561,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,0,0.1,Q1,1,Kaiser et al. (2017),225,0.5,Q3,NZVM (2021),0,0,0
MSZ,-44.67333378,167.9263986,423,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,0,0.1,Q1,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),1,0,0
MWZ,-38.3340014,177.5277793,153,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,0,0.5,Q3,1,Kaiser et al. (2017),275,0.5,Q3,NZVM (2021),1,0,0
MXZ,-37.56225851,178.3066313,383,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,3025,0.5,Q3,NZVM (2021),1,0,0
NNZ,-41.21710266,173.3794768,35,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,325,0.5,Q3,NZVM (2021),1,0,0
ODZ,-45.04398211,170.6446222,4,B,697,0.3005,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),775,0.5,Q3,NZVM (2021),1,0,0
OPZ,-45.88435567,170.5977667,65,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,0,0.5,Q3,1,Kaiser et al. (2017),375,0.5,Q3,NZVM (2021),0,0,1
OXZ,-43.3259,172.0383,1,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,325,0.3,Q3,NZVM (2021),0,0,0
PUZ,-38.07154787,178.257209,332,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,0,0.5,Q3,1,Kaiser et al. (2017),1275,0.5,Q3,NZVM (2021),0,0.4,0
PWZ,-40.02968444,176.8619952,3,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,7575,0.5,Q3,NZVM (2021),0,0,0
PXZ,-40.03064446,176.8621452,3,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Ms,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,7625,0.5,Q3,NZVM (2021),0,0.5,0
PYZ,-46.16625168,166.6806925,3,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mu,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,375,0.5,Q3,NZVM (2021),0,0.33,0
QRZ,-40.82552162,172.5291478,3,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,325,0.5,Q3,NZVM (2021),1,0,0
RCS2,-41.67229,174.07645,334,D,273,0.2615,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.3,Q3,I,Kaiser et al. 2017,50,0.3,Q3,1,Kaiser et al. (2017),1975,0.3,Q3,NZVM (2021),0,0,0
RPZ,-43.71460758,171.0538649,259,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,325,0.5,Q3,NZVM (2021),1,0,0
RTZ,-38.61544,176.980518,158,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,425,0.5,Q3,NZVM (2021),0,0.18,0
SYZ,-46.53689035,169.138823,4,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,45,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),575,0.5,Q3,NZVM (2021),0,0,0
TCW,-41.21036472,174.2763281,50,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,275,0.5,Q3,NZVM (2021),0,0.25,0
THZ,-41.76247413,172.9052183,5,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,28,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.3,Q3,NZVM (2021),1,0,0
TOZ,-37.73095563,175.5018468,802,B,800,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),0,0.3,Q3,1,Kaiser et al. (2017),375,0.3,Q3,NZVM (2021),0,0,0
TSZ,-40.0585531,175.9611239,335,B,800,0.2,Q3,NSHM 2021,0.05,0.3,Q3,Mw,NSHM (2021),0,0.5,Q3,1,Kaiser et al. (2017),275,0.5,Q3,NZVM (2021),0,0,0
TUZ,-45.95397485,169.6311433,4,B,745,0.266,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,33,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),1,0,0
URZ,-38.25924909,177.1108945,12,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,0,0.5,Q3,1,Kaiser et al. (2017),275,0.5,Q3,NZVM (2021),1,0,0
VRZ,-39.12434088,174.7584526,223,B,673,0.289,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,Mn,Manea et al. 2021 unpublished,33,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1225,0.5,Q3,NZVM (2021),0,0,0
WAZ,-39.75464442,174.9855329,1427,B,690,0.2,Q3,Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,41,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1525,0.5,Q3,NZVM (2021),0,0.5,1
WEL,-41.28404758,174.768184,1421,B,687,0.2705,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,Mw,NSHM (2021),0,0.1,Q2,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),0,0.3,0
WHZ,-45.8924279,167.9470312,4,B,734,0.281,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,Mw,Manea et al. 2021 unpublished,28,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),725,0.5,Q3,NZVM (2021),0,0.13,0
WKZ,-44.82702135,169.017562,6,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,275,0.5,Q3,NZVM (2021),1,0,0
WVZ,-43.07435029,170.7367542,117,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,275,0.5,Q3,NZVM (2021),0,0,0
ABAZ,-36.600224,174.8323329,29,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,55,0.5,Q3,1,NZVM (2021),625,0.5,Q3,NZVM (2021),0,0.2,1
AKCZ,-43.8721,172.90983,4,B,680,0.317,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,65,0.3,Q3,1,NZVM (2021),1725,0.3,Q3,NZVM (2021),0,0,0
ALRZ,-38.5620433,176.3430141,344,B,674,0.32,Q3,Foster et al. (2019) & Perrin et al. (2015),0.047,0.1,Q1,I,Manea et al. 2021 unpublished,55,0.5,Q3,1,NZVM (2021),1025,0.5,Q3,NZVM (2021),0,0,1
AMCZ,-43.17654,172.65146,602,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,65,0.3,Q3,1,NZVM (2021),2575,0.3,Q3,NZVM (2021),0,0,1
ANWZ,-40.45974293,176.4750588,129,C,567,0.355,Q3,Foster et al. (2019) & Perrin et al. (2015),0.585,0.1,Q1,I,Manea et al. 2021 unpublished,45,0.5,Q3,1,NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0
APZ,-46.83180552,167.9888255,9,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,5,0.05,Q3,1,NSHM (2021) ,875,0.5,Q3,NZVM (2021),1,0,0
ARAZ,-38.62769,176.12006,1480,C,409,0.2,Q3,NSHM 2021,0.2,0.1,Q1,I,Manea et al. 2021 unpublished,55,0.5,Q3,1,NZVM (2021),1975,0.5,Q3,NZVM (2021),0,0,1
ARCZ,-43.94705,171.17674,239,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,55,0.5,Q3,1,NZVM (2021),725,0.5,Q3,NZVM (2021),0,0,0
ARHZ,-39.2631,176.9959,41,C,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.16,0.1,Q1,I,Manea et al. 2021 unpublished,75,0.5,Q3,1,NZVM (2021),6175,0.5,Q3,NZVM (2021),0,0.15,0
AWAZ,-37.06378,174.64292,334,D,462,0.3825,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),675,0.5,Q3,NZVM (2021),0,0,0
AXZ,-45.26557443,169.3312735,7,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,275,0.5,Q3,NZVM (2021),1,0,0
BBW,-41.71079536,173.8784509,138,C,313,0.3585,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),35,0.3,Q3,1,NZVM (2021),925,0.3,Q3,NZVM (2021),0,0,0
BCOF,-44.7949436,167.4694075,942,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,5,0.05,Q3,1,NSHM (2021) ,1225,0.5,Q3,NZVM (2021),0,0,0
BHHZ,-39.489284,176.0629288,537,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,55,0.5,Q3,1,NZVM (2021),825,0.5,Q3,NZVM (2021),1,0,0
BHW,-41.40823068,174.8711148,291,C,346,0.383,Q3,Foster et al. (2019) & Perrin et al. (2015),0.06,0.1,Q1,I,Manea et al. 2021 unpublished,85,0.3,Q3,1,NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,0
BLW,-41.36699113,175.4748727,13,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),2925,0.5,Q3,NZVM (2021),0,0,0
BRAH,-43.99733906,169.0173769,18,A,1500,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),5,0.05,Q3,1,NSHM (2021) ,325,0.5,Q3,NZVM (2021),0,0,0
BRKS,-45.57481679,166.7410863,2,A,1500,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),5,0.05,Q3,1,NSHM (2021) ,525,0.5,Q3,NZVM (2021),0,0,0
BSWZ,-41.71491545,173.8757409,23,B,675,0.3475,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,35,0.5,Q3,1,NZVM (2021),875,0.5,Q3,NZVM (2021),1,0,0
BSZ,-39.79695519,174.9313721,28,C,500,0.352,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),1225,0.5,Q3,NZVM (2021),0,0,0
BWZ,-44.53005586,169.8830851,3,C,294,0.353,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
